name,height,length,width,brand,city_mpg,highway_mpg,transmission_type,engine_torque,engine_horsepower,year,is_hybrid
2009 Audi A3 3.2,140,143,202,Audi,18,25,Automatic transmission,236,250,2009,True
2009 Audi A3 2.0 T AT,140,143,202,Audi,22,28,Automatic transmission,207,200,2009,True
2009 Audi A3 2.0 T,140,143,202,Audi,21,30,Manual transmission,207,200,2009,True
2009 Audi A3 2.0 T Quattro,140,143,202,Audi,21,28,Automatic transmission,207,200,2009,True
2009 Audi A3 2.0 T Quattro,140,143,202,Audi,21,28,Automatic transmission,207,200,2009,True
2009 Audi A5 3.2,91,17,62,Audi,16,27,Manual transmission,243,265,2009,True
2009 Audi A5 3.2 AT,91,17,62,Audi,17,26,Automatic transmission,243,265,2009,True
2009 Audi Q7 4.2,201,221,191,Audi,13,18,Automatic transmission,325,350,2009,True
2009 Audi Q7 3.6,201,221,191,Audi,14,20,Automatic transmission,266,280,2009,True
2009 Audi A4 Sedan 2.0 T Quattro,147,96,34,Audi,22,30,Manual transmission,258,211,2009,True
2009 Audi A4 Sedan 2.0 T Quattro AT,147,96,34,Audi,21,27,Automatic transmission,258,211,2009,True
2009 Audi A4 Sedan 3.2,147,96,34,Audi,17,26,Automatic transmission,243,265,2009,True
2012 Acura TL,172,63,87,Acura,20,29,Automatic transmission,254,280,2012,True
2012 Acura TL SH-AWD,172,63,87,Acura,18,26,Automatic transmission,273,305,2012,True
2010 BMW X5 M SUV,226,243,201,BMW,12,17,Automatic transmission,500,555,2010,True
2011 BMW X5 M SUV,226,243,201,BMW,12,17,Automatic transmission,500,555,2011,True
2010 BMW X6 M,148,12,191,BMW,12,17,Automatic transmission,500,555,2010,True
2011 BMW X6 M,148,12,191,BMW,12,17,Automatic transmission,500,555,2011,True
2012 Chevrolet Colorado Work Truck,112,22,181,Chevrolet,18,25,Manual transmission,190,185,2012,True
2012 Chevrolet Colorado Extended Cab Work Truck,112,140,181,Chevrolet,18,25,Manual transmission,190,185,2012,True
2012 Chevrolet Colorado Crew Cab 1LT,120,140,181,Chevrolet,18,25,Automatic transmission,190,185,2012,True
