District,Median Income,Percent voting for Clinton
"Congressional District (at Large), Alaska",76440,37.6
"Congressional District (at Large), Delaware",61757,53.4
"Congressional District (at Large), Montana",50027,35.9
"Congressional District (at Large), North Dakota",60656,27.7
"Congressional District (at Large), South Dakota",54467,31.7
"Congressional District (at Large), Vermont",57677,56.7
"Congressional District (at Large), Wyoming",59882,22.5
"Congressional District 1, Alabama",47083,34.1
"Congressional District 1, Arizona",50537,46.6
"Congressional District 1, Arkansas",40492,30.2
"Congressional District 1, California",47488,36.5
"Congressional District 1, Colorado",62718,69.0
"Congressional District 1, Connecticut",70215,59.4
"Congressional District 1, Florida",53006,28.2
"Congressional District 1, Georgia",50931,40.9
"Congressional District 1, Hawaii",78180,63.1
"Congressional District 1, Idaho",52199,25.4
"Congressional District 1, Illinois",50523,75.4
"Congressional District 1, Indiana",56370,54.1
"Congressional District 1, Iowa",57402,45.2
"Congressional District 1, Kansas",48156,24.3
"Congressional District 1, Kentucky",40253,23.9
"Congressional District 1, Louisiana",56938,26.7
"Congressional District 1, Maine",61173,54.1
"Congressional District 1, Maryland",69254,33.4
"Congressional District 1, Massachusetts",55716,57.2
"Congressional District 1, Michigan",46927,36.6
"Congressional District 1, Minnesota",60424,38.4
"Congressional District 1, Mississippi",43194,32.4
"Congressional District 1, Missouri",45172,77.0
"Congressional District 1, Nebraska",58537,36.2
"Congressional District 1, Nevada",38000,61.6
"Congressional District 1, New Hampshire",71277,46.6
"Congressional District 1, New Jersey",68208,60.6
"Congressional District 1, New Mexico",49570,51.6
"Congressional District 1, New York",90435,42.2
"Congressional District 1, North Carolina",40895,67.5
"Congressional District 1, Ohio",55712,44.6
"Congressional District 1, Oklahoma",52319,32.7
"Congressional District 1, Oregon",72097,57.3
"Congressional District 1, Pennsylvania",45025,49.1
"Congressional District 1, Rhode Island",56547,60.5
"Congressional District 1, South Carolina",64973,40.4
"Congressional District 1, Tennessee",41006,19.7
"Congressional District 1, Texas",45313,25.3
"Congressional District 1, Utah",65896,22.4
"Congressional District 1, Virginia",81338,41.2
"Congressional District 1, Washington",91018,54.1
"Congressional District 1, West Virginia",45611,26.4
"Congressional District 1, Wisconsin",61589,42.3
"Congressional District 10, California",60235,48.5
"Congressional District 10, Florida",50151,61.8
"Congressional District 10, Georgia",51532,35.8
"Congressional District 10, Illinois",74971,62.0
"Congressional District 10, Michigan",60934,31.6
"Congressional District 10, New Jersey",50100,85.2
"Congressional District 10, New York",85756,78.3
"Congressional District 10, North Carolina",46508,36.4
"Congressional District 10, Ohio",49988,44.0
"Congressional District 10, Pennsylvania",52199,43.4
"Congressional District 10, Texas",73476,43.2
"Congressional District 10, Virginia",120384,52.2
"Congressional District 10, Washington",62206,51.3
"Congressional District 11, California",86000,71.5
"Congressional District 11, Florida",43610,32.5
"Congressional District 11, Georgia",69610,35.3
"Congressional District 11, Illinois",72198,58.9
"Congressional District 11, Michigan",79805,45.3
"Congressional District 11, New Jersey",108260,47.9
"Congressional District 11, New York",71072,43.8
"Congressional District 11, North Carolina",43855,34.0
"Congressional District 11, Ohio",35735,80.5
"Congressional District 11, Pennsylvania",53833,34.7
"Congressional District 11, Texas",50602,19.1
"Congressional District 11, Virginia",106554,66.9
