Extraversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
4,6,4,Both,I don't know,On your back
8,6,7,Both,I don't know,On your back
9,6,7,Both,I don't know,On your back
2,3,6.75,Left-handed,I don't know,On your back
7,10,7,Left-handed,I don't know,On your back
8,50,8,Left-handed,I don't know,On your back
4,5,10,Left-handed,I don't know,On your back
7,2,5,Right-handed,I don't know,On your back
3,7,5,Right-handed,I don't know,On your back
6,8,5.5,Right-handed,I don't know,On your back
5,3,6,Right-handed,I don't know,On your back
5,3,6,Right-handed,I don't know,On your back
4,4,6,Right-handed,I don't know,On your back
6,4,6,Right-handed,I don't know,On your back
7,4,6,Right-handed,I don't know,On your back
5,5,6,Right-handed,I don't know,On your back
5,5,6,Right-handed,I don't know,On your back
8,6,6,Right-handed,I don't know,On your back
3,1,7,Right-handed,I don't know,On your back
3,2,7,Right-handed,I don't know,On your back
5,2,7,Right-handed,I don't know,On your back
6,2,7,Right-handed,I don't know,On your back
6,3,7,Right-handed,I don't know,On your back
6,4,7,Right-handed,I don't know,On your back
7,4,7,Right-handed,I don't know,On your back
4,5,7,Right-handed,I don't know,On your back
7,5,7,Right-handed,I don't know,On your back
7,6,7,Right-handed,I don't know,On your back
5,7,7,Right-handed,I don't know,On your back
5,8,7,Right-handed,I don't know,On your back
3,5,7.5,Right-handed,I don't know,On your back
8,8,7.5,Right-handed,I don't know,On your back
2,1,8,Right-handed,I don't know,On your back
1,2,8,Right-handed,I don't know,On your back
5,2,8,Right-handed,I don't know,On your back
1,3,8,Right-handed,I don't know,On your back
3,3,8,Right-handed,I don't know,On your back
4,4,8,Right-handed,I don't know,On your back
5,4,8,Right-handed,I don't know,On your back
7,5,8,Right-handed,I don't know,On your back
8,5,8,Right-handed,I don't know,On your back
7,7,8,Right-handed,I don't know,On your back
6,10,8,Right-handed,I don't know,On your back
7,10,8,Right-handed,I don't know,On your back
8,10,8,Right-handed,I don't know,On your back
8,12,8,Right-handed,I don't know,On your back
10,15,8,Right-handed,I don't know,On your back
9,20,8,Right-handed,I don't know,On your back
3,2,8.5,Right-handed,I don't know,On your back
6,10,9,Right-handed,I don't know,On your back
7,3,6.5,Both,Left leg in first,On your back
1,2,5,Left-handed,Left leg in first,On your back
5,0,6,Left-handed,Left leg in first,On your back
4,3,6,Left-handed,Left leg in first,On your back
6,4,6,Left-handed,Left leg in first,On your back
7,4,6,Left-handed,Left leg in first,On your back
7,6,6,Left-handed,Left leg in first,On your back
7,10,6,Left-handed,Left leg in first,On your back
7,4,7,Left-handed,Left leg in first,On your back
6,6,7,Left-handed,Left leg in first,On your back
8,10,7,Left-handed,Left leg in first,On your back
3,2,8,Left-handed,Left leg in first,On your back
4,4,8,Left-handed,Left leg in first,On your back
1,5,8,Left-handed,Left leg in first,On your back
7,6,8,Left-handed,Left leg in first,On your back
5,2,5,Right-handed,Left leg in first,On your back
5,4,5,Right-handed,Left leg in first,On your back
7,4,5,Right-handed,Left leg in first,On your back
2,2,6,Right-handed,Left leg in first,On your back
4,2,6,Right-handed,Left leg in first,On your back
3,3,6,Right-handed,Left leg in first,On your back
4,3,6,Right-handed,Left leg in first,On your back
6,3,6,Right-handed,Left leg in first,On your back
2,5,6,Right-handed,Left leg in first,On your back
4,5,6,Right-handed,Left leg in first,On your back
7,5,6,Right-handed,Left leg in first,On your back
3,7,6,Right-handed,Left leg in first,On your back
8,11,6,Right-handed,Left leg in first,On your back
8,15,6,Right-handed,Left leg in first,On your back
9,20,6,Right-handed,Left leg in first,On your back
4,8,6.5,Right-handed,Left leg in first,On your back
