Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position
Second,6,10,7.0,Right-handed,On your back
Fourth or above,9,25,7.0,Right-handed,On your left side
First,7,5,8.0,Right-handed,On your stomach
Second,5,6,8.0,Right-handed,On your right side
Second,5,10,7.0,Right-handed,On your right side
Third,8,3,8.0,Right-handed,On your stomach
Third,8,2,5.0,Right-handed,On your left side
Second,7,5,6.0,Right-handed,On your right side
First,8,6,7.0,Right-handed,On your right side
First,4,5,7.0,Left-handed,On your right side
First,6,4,8.0,Right-handed,On your back
Second,8,6,8.0,Right-handed,On your left side
Second,3,4,4.0,Right-handed,On your right side
Second,4,2,6.0,Right-handed,On your stomach
First,6,8,8.0,Right-handed,On your back
Third,3,4,8.0,Right-handed,On your left side
Second,8,20,7.0,Right-handed,On your right side
Third,4,3,8.0,Right-handed,On your right side
Second,7,5,7.5,Right-handed,On your stomach
First,7,16,7.0,Right-handed,On your right side
First,3,5,8.0,Right-handed,On your left side
Third,5,2,9.0,Right-handed,On your left side
Third,5,5,6.5,Right-handed,On your right side
Second,6,10,8.0,Right-handed,On your left side
Third,7,8,7.0,Right-handed,On your left side
Second,8,2,7.0,Right-handed,On your back
First,4,6,7.0,Right-handed,On your right side
First,7,5,8.0,Right-handed,On your right side
Second,3,8,7.0,Right-handed,On your stomach
First,4,4,6.0,Right-handed,On your back
Third,7,6,7.0,Right-handed,On your back
First,5,25,6.0,Right-handed,On your left side
First,3,5,7.0,Right-handed,On your stomach
First,6,8,6.0,Right-handed,On your left side
Second,4,10,7.0,Right-handed,On your left side
First,7,8,8.0,Right-handed,On your left side
First,8,10,7.0,Right-handed,On your back
Fourth or above,7,3,7.0,Right-handed,On your left side
First,7,10,6.0,Left-handed,On your back
Second,2,5,6.0,Right-handed,On your back
Second,7,8,7.0,Right-handed,On your stomach
First,5,9,7.0,Right-handed,On your back
First,4,5,7.0,Right-handed,On your back
First,5,4,8.0,Right-handed,On your back
First,6,5,8.0,Right-handed,On your stomach
First,8,4,7.0,Left-handed,On your left side
First,8,3,8.0,Right-handed,On your back
Second,7,3,6.0,Right-handed,On your right side
Third,4,8,8.0,Right-handed,On your right side
First,2,8,9.5,Right-handed,On your stomach
Second,3,10,7.0,Right-handed,On your left side
First,4,19,6.0,Right-handed,On your left side
First,5,12,8.0,Right-handed,On your stomach
Second,4,4,7.0,Right-handed,On your right side
Second,7,7,6.0,Right-handed,On your right side
First,7,2,7.0,Right-handed,On your stomach
Third,7,5,7.0,Right-handed,On your back
Second,7,4,6.0,Right-handed,On your right side
Second,6,3,6.0,Right-handed,On your back
Fourth or above,8,10,7.0,Right-handed,On your left side
First,7,5,6.0,Right-handed,On your back
Second,7,15,7.0,Right-handed,On your stomach
First,6,10,8.0,Right-handed,On your right side
Fourth or above,4,3,8.0,Right-handed,On your left side
Second,4,4,7.0,Right-handed,On your right side
First,7,8,6.0,Right-handed,On your right side
Third,6,10,8.0,Right-handed,On your back
Third,4,3,7.0,Right-handed,On your right side
Third,6,8,9.0,Right-handed,On your right side
Second,1,3,6.0,Right-handed,On your right side
First,8,10,8.0,Right-handed,On your back
Second,7,5,7.0,Right-handed,On your back
Fourth or above,6,1,7.0,Right-handed,On your left side
Third,9,8,7.0,Right-handed,On your right side
Second,1,2,8.0,Right-handed,On your back
First,5,8,7.5,Right-handed,On your back
Second,8,8,6.0,Right-handed,On your left side
First,7,3,7.0,Right-handed,On your right side
First,7,10,7.0,Right-handed,On your back
Second,4,15,6.0,Right-handed,On your left side
Second,7,2,7.0,Right-handed,On your left side
Second,6,1,8.0,Right-handed,On your left side
Third,9,4,6.0,Right-handed,On your right side
First,8,15,7.0,Right-handed,On your right side
Fourth or above,9,20,7.0,Right-handed,On your back
Second,3,18,6.0,Right-handed,On your left side
Second,3,8,8.0,Right-handed,On your right side
First,4,5,7.0,Right-handed,On your left side
Third,5,3,6.0,Right-handed,On your back
Second,7,5,7.0,Right-handed,On your right side
First,4,7,8.0,Right-handed,On your back
Second,5,5,6.0,Right-handed,On your stomach
Third,6,0,7.0,Left-handed,On your left side
Third,3,3,8.0,Right-handed,On your left side
Third,6,6,6.0,Left-handed,On your left side
Second,8,10,7.0,Right-handed,On your stomach
Third,5,7,6.0,Right-handed,On your left side
Second,6,6,8.0,Right-handed,On your right side
First,4,10,8.0,Right-handed,On your right side
First,8,2,7.0,Right-handed,On your stomach
Second,5,4,8.0,Right-handed,On your left side
First,3,5,6.0,Right-handed,On your left side
Third,5,2,8.0,Right-handed,On your stomach
Second,5,5,8.0,Right-handed,On your right side
Second,3,2,7.0,Left-handed,On your left side
Third,6,5,5.0,Left-handed,On your left side
Fourth or above,3,12,7.0,Right-handed,On your stomach
First,8,10,7.0,Right-handed,On your stomach
Second,7,15,8.0,Right-handed,On your right side
Second,5,2,8.0,Right-handed,On your right side
Second,4,10,5.0,Right-handed,On your left side
Fourth or above,9,7,7.0,Right-handed,On your back
First,6,5,6.0,Right-handed,On your stomach
First,6,5,6.0,Right-handed,On your right side
Third,3,1,7.0,Right-handed,On your left side
First,7,20,7.0,Both,On your right side
First,4,15,6.0,Right-handed,On your left side
Second,9,3,8.0,Right-handed,On your right side
First,7,5,7.0,Right-handed,On your left side
Third,4,2,6.0,Right-handed,On your back
Second,8,5,7.0,Right-handed,On your right side
Second,9,2,8.0,Right-handed,On your right side
First,6,12,8.5,Right-handed,On your right side
Third,2,3,3.0,Right-handed,On your right side
Second,8,7,7.0,Right-handed,On your right side
Second,8,15,6.0,Right-handed,On your left side
First,7,6,7.0,Right-handed,On your right side
Second,4,3,8.0,Right-handed,On your left side
First,8,5,8.0,Left-handed,On your back
Third,4,5,7.0,Right-handed,On your right side
First,7,10,6.0,Right-handed,On your right side
Third,8,5,7.0,Right-handed,On your left side
First,8,3,7.5,Right-handed,On your stomach
First,8,5,8.0,Right-handed,On your back
First,4,7,6.0,Right-handed,On your right side
Third,2,5,6.0,Right-handed,On your left side
First,7,7,7.0,Right-handed,On your stomach
Third,6,4,7.0,Right-handed,On your stomach
First,9,5,7.0,Right-handed,On your right side
First,6,6,7.0,Right-handed,On your back
Fourth or above,7,12,8.0,Left-handed,On your left side
First,5,6,6.0,Right-handed,On your left side
First,5,5,6.0,Right-handed,On your back
Second,4,7,8.0,Left-handed,On your right side
Second,9,10,9.0,Right-handed,On your right side
Third,6,1,7.0,Right-handed,On your stomach
First,3,4,6.0,Right-handed,On your back
Fourth or above,5,8,6.0,Right-handed,On your right side
First,8,3,6.0,Right-handed,On your left side
Second,7,7,7.0,Right-handed,On your left side
First,9,15,8.0,Right-handed,On your left side
Fourth or above,6,5,7.0,Right-handed,On your back
First,6,5,8.0,Right-handed,On your right side
Fourth or above,5,5,8.0,Right-handed,On your back
First,1,4,7.0,Right-handed,On your back
Second,4,6,7.0,Right-handed,On your right side
First,7,10,8.0,Right-handed,On your left side
Second,5,60,6.0,Right-handed,On your stomach
Third,9,7,7.0,Right-handed,On your back
Second,9,5,9.0,Right-handed,On your left side
First,8,3,6.5,Right-handed,On your left side
First,3,2,6.0,Right-handed,On your back
Second,4,3,8.0,Right-handed,On your right side
Fourth or above,2,2,4.0,Right-handed,On your back
