county,state,population,housing_units,urban_pct,low_access_1,low_access_10,low_access_20,carless_pct
Abbeville,SC,25417,9990,16.666666666666664,21510,5176,0,8.5
Acadia,LA,61773,22841,50.0,32874,625,0,8.9
Accomack,VA,33164,13798,0.0,26847,727,0,9.7
Ada,ID,392365,148445,93.22033898305084,137142,209,1,4.4
Adair,IA,7682,3292,0.0,4916,605,0,4.3
Adair,KY,18656,7285,0.0,14058,1068,0,7.7
Adair,MO,25607,9877,57.14285714285714,13186,1119,0,9.6
Adair,OK,22683,8156,20.0,17285,1067,0,6.8
Adams,CO,441603,153764,92.78350515463917,129759,1100,36,5.3
Adams,IA,4029,1715,0.0,2367,243,0,3.0
Adams,ID,3976,1748,0.0,2492,424,39,4.1
Adams,IL,67103,27375,72.22222222222221,29246,3500,0,7.0
Adams,IN,34387,12011,42.857142857142854,22940,3,0,13.1
Adams,MS,32297,12643,66.66666666666666,20122,569,0,9.0
Adams,ND,2343,1098,0.0,1038,527,14,1.5
Adams,NE,31364,12466,77.77777777777779,13563,1213,0,4.8
Adams,OH,28550,11147,16.666666666666664,20153,791,0,7.8
Adams,PA,101407,38013,34.782608695652165,70371,0,0,4.0
Adams,WA,18728,5720,60.0,9790,1813,335,4.6
Adams,WI,20875,8666,0.0,18388,3389,0,3.9
Addison,VT,36821,14084,20.0,27325,28,0,5.1
Aiken,SC,160099,64253,51.515151515151516,100872,2168,0,5.9
Aitkin,MN,16202,7299,0.0,13797,4916,200,6.1
Alachua,FL,247336,100516,71.42857142857143,106916,191,0,8.6
Alamance,NC,151131,59960,66.66666666666666,87994,2861,0,6.0
Alameda,CA,1510271,545138,98.33333333333331,190944,111,0,10.1
Alamosa,CO,15445,5995,50.0,5791,780,68,7.7
Albany,NY,304204,126251,89.33333333333333,112026,1005,0,12.8
Albany,WY,36299,15691,80.0,17725,2010,1177,3.9
Albemarle,VA,98970,38157,45.454545454545446,56648,289,0,4.4
Alcona,MI,10942,5089,0.0,10120,1264,0,4.2
Alcorn,MS,37057,15039,28.57142857142857,28022,1177,0,5.2
Aleutians East,AK,3141,553,0.0,2289,1226,1122,21.2
Aleutians West,AK,5561,1212,0.0,3489,717,706,16.0
Alexander,IL,8238,3329,50.0,5817,3208,0,12.4
Alexander,NC,37198,14425,28.57142857142857,31707,61,0,4.3
Alexandria,VA,139966,68082,100.0,0,0,0,9.3
Alfalfa,OK,5642,2022,0.0,4362,3429,0,5.2
Alger,MI,9601,3898,0.0,7629,3335,868,6.7
Allamakee,IA,14330,5845,20.0,9511,1295,0,4.6
Allegan,MI,111408,42018,36.0,77907,298,0,3.8
Allegany,MD,75087,29177,60.86956521739131,49682,1132,0,10.8
Allegany,NY,48946,18208,0.0,38070,173,0,9.0
Alleghany,NC,11155,4778,0.0,8993,402,0,7.3
Alleghany,VA,16250,6891,16.666666666666664,11030,341,0,5.9
Allegheny,PA,1223348,533960,96.51741293532339,396959,0,0,13.8
Allen,IN,355329,137851,86.45833333333334,180456,1221,0,7.5
Allen,KS,13371,5475,40.0,9308,1636,0,6.3
Allen,KY,19956,7848,16.666666666666664,15432,246,0,7.8
Allen,LA,25764,8516,40.0,19285,5938,0,8.2
Allen,OH,106331,40619,69.6969696969697,49774,0,0,7.8
Allendale,SC,10419,3706,0.0,4775,205,0,15.8
Alpena,MI,29598,12791,50.0,15312,1464,0,8.3
Alpine,CA,1175,497,0.0,1174,652,121,2.8
Amador,CA,38091,14569,0.0,25533,62,0,4.1
Amelia,VA,12690,4821,0.0,12430,1854,0,2.6
Amherst,VA,32353,12560,44.44444444444444,25298,402,0,5.8
Amite,MS,13131,5351,0.0,12177,2391,0,6.8
Anchorage,AK,291826,107332,94.54545454545455,103748,299,12,5.8
Anderson,KS,8102,3260,0.0,4906,1498,0,6.5
Anderson,KY,21421,8369,20.0,16095,0,0,3.0
Anderson,SC,187126,73829,61.53846153846154,133505,4840,0,6.2
Anderson,TN,75129,31253,44.44444444444444,42245,30,0,6.6
Anderson,TX,58458,17218,36.36363636363637,45324,12890,0,5.9
Andrew,MO,17291,6700,25.0,12071,852,0,3.4
Andrews,TX,14786,5259,50.0,7559,116,3,2.7
Androscoggin,ME,107702,44315,46.42857142857143,57998,0,0,10.7
Angelina,TX,86771,31090,47.05882352941176,63449,4553,154,5.1
Anne Arundel,MD,537656,199378,93.26923076923076,195684,0,0,4.0
Anoka,MN,330844,121227,83.13253012048193,187305,0,0,5.1
Anson,NC,26948,9755,16.666666666666664,21551,67,0,11.3
Antelope,NE,6685,2841,0.0,5018,2759,0,4.1
Antrim,MI,23580,9890,0.0,17595,71,0,3.8
Apache,AZ,71518,22771,6.25,61227,41849,27391,10.9
Appanoose,IA,12887,5627,40.0,7649,1728,0,7.5
Appling,GA,18236,6969,40.0,14598,2407,0,7.9
Appomattox,VA,14973,6033,0.0,12384,444,0,5.0
Aransas,TX,23158,9795,60.0,18181,3,0,3.5
Arapahoe,CO,572003,224011,95.91836734693877,133928,1172,4,5.5
Archer,TX,9054,3538,0.0,7352,1466,1,2.8
Archuleta,CO,12084,5267,25.0,9054,1163,1,3.0
Arenac,MI,15899,6701,0.0,13360,30,0,6.1
Arkansas,AR,19019,8005,50.0,8260,2333,0,9.0
Arlington,VA,207627,98050,100.0,5136,0,0,11.9
Armstrong,PA,68941,28713,26.31578947368421,45712,61,0,8.5
Armstrong,TX,1901,751,0.0,1900,1896,201,1.4
Aroostook,ME,71870,30961,4.166666666666666,47164,6805,497,8.1
Arthur,NE,460,187,0.0,460,460,456,0.0
Ascension,LA,107215,37790,85.71428571428571,70228,0,0,4.4
Ashe,NC,27281,11755,16.666666666666664,22828,1381,0,6.1
Ashland,OH,53139,20196,36.36363636363637,31958,0,0,6.7
Ashland,WI,16157,6736,28.57142857142857,9073,4176,291,8.8
Ashley,AR,21853,8765,28.57142857142857,12761,2666,0,5.2
Ashtabula,OH,101497,39363,52.0,63877,0,0,8.5
Asotin,WA,21623,9236,83.33333333333334,5849,568,177,6.0
Assumption,LA,23421,8736,0.0,19699,4351,0,6.4
