season,episode,overall_episode,speaker,num_words
1,1,1,TOTAL,2861
1,1,1,Michael,1598
1,1,1,Jim,335
1,1,1,Dwight,296
1,1,1,Pam,295
1,1,1,Jan,143
1,1,1,Ryan,54
1,1,1,Stanley,33
1,1,1,Roy,32
1,1,1,Todd Packer,25
1,1,1,Oscar,23
1,1,1,Angela,10
1,1,1,Phyllis,7
1,1,1,Kevin,4
1,2,2,TOTAL,3103
1,2,2,Michael,1740
1,2,2,Jim,366
1,2,2,Dwight,185
1,2,2,Pam,113
1,2,2,Kevin,75
1,2,2,Oscar,70
1,2,2,Ryan,32
1,2,2,Stanley,23
1,2,2,Toby,17
1,2,2,Kelly,11
1,2,2,Angela,4
1,3,3,TOTAL,2842
1,3,3,Michael,1090
1,3,3,Dwight,782
1,3,3,Jim,342
1,3,3,Pam,218
1,3,3,Jan,142
1,3,3,Oscar,53
1,3,3,Stanley,50
1,3,3,Kevin,35
1,3,3,Meredith,35
1,3,3,Angela,26
1,3,3,Ryan,11
1,4,4,TOTAL,3265
1,4,4,Michael,1485
1,4,4,Dwight,609
1,4,4,Jim,588
1,4,4,Pam,236
1,4,4,Oscar,98
1,4,4,Meredith,79
1,4,4,Phyllis,41
1,4,4,Angela,35
1,4,4,Roy,32
1,4,4,Toby,14
1,4,4,Ryan,12
1,4,4,Stanley,9
1,4,4,Kevin,6
1,5,5,TOTAL,2789
1,5,5,Michael,1874
1,5,5,Jim,219
1,5,5,Dwight,147
1,5,5,Pam,139
1,5,5,Darryl,103
1,5,5,Roy,77
1,5,5,Ryan,40
1,5,5,Angela,31
1,5,5,Phyllis,27
1,5,5,Oscar,16
1,5,5,Stanley,10
1,5,5,Kevin,7
1,6,6,TOTAL,3184
1,6,6,Michael,1529
1,6,6,Jim,536
1,6,6,Dwight,243
1,6,6,Pam,221
1,6,6,Roy,98
1,6,6,Jan,71
1,6,6,Ryan,63
1,6,6,Kevin,24
1,6,6,Toby,23
1,6,6,Stanley,22
1,6,6,Angela,18
1,6,6,Oscar,4
2,1,7,TOTAL,3357
2,1,7,Michael,1787
2,1,7,Dwight,375
2,1,7,Pam,355
2,1,7,Jim,292
2,1,7,Jan,106
2,1,7,Stanley,88
2,1,7,Oscar,73
2,1,7,Kelly,53
2,1,7,Phyllis,46
2,1,7,Roy,39
2,1,7,Ryan,27
2,1,7,Angela,22
2,1,7,Kevin,10
2,1,7,Darryl,6
2,2,8,TOTAL,3179
2,2,8,Michael,1596
2,2,8,Todd Packer,260
2,2,8,Toby,255
2,2,8,Pam,235
2,2,8,Jim,169
2,2,8,Darryl,124
2,2,8,Jan,104
2,2,8,Dwight,76
2,2,8,Roy,71
2,2,8,Phyllis,37
2,2,8,Kevin,25
2,2,8,Angela,24
2,2,8,Stanley,17
2,2,8,Ryan,6
2,2,8,Meredith,5
2,3,9,TOTAL,2795
2,3,9,Michael,1054
2,3,9,Dwight,590
2,3,9,Jim,515
2,3,9,Pam,235
2,3,9,Ryan,90
2,3,9,Angela,56
2,3,9,Kevin,50
2,3,9,Oscar,37
2,3,9,Stanley,27
2,3,9,Phyllis,9
2,3,9,Meredith,1
2,4,10,TOTAL,2915
2,4,10,Michael,982
2,4,10,Dwight,670
2,4,10,Jim,451
2,4,10,Ryan,252
2,4,10,Pam,183
2,4,10,Angela,71
2,4,10,Roy,58
2,4,10,Kevin,28
2,4,10,Meredith,28
2,4,10,Stanley,28
2,4,10,Oscar,26
2,4,10,Phyllis,21
2,4,10,Kelly,13
2,5,11,TOTAL,2966
2,5,11,Michael,1333
2,5,11,Dwight,470
2,5,11,Jim,448
2,5,11,Pam,219
2,5,11,Creed,148
2,5,11,Angela,81
2,5,11,Kelly,31
2,5,11,Oscar,21
2,5,11,Stanley,16
2,5,11,Ryan,11
2,5,11,Phyllis,8
2,5,11,Kevin,3
2,6,12,TOTAL,2916
2,6,12,Michael,1315
2,6,12,Dwight,593
2,6,12,Jim,483
2,6,12,Pam,260
2,6,12,Ryan,86
2,6,12,Toby,28
2,6,12,Stanley,20
2,6,12,Angela,15
2,6,12,Kelly,8
2,6,12,Kevin,6
2,7,13,TOTAL,2797
2,7,13,Michael,1106
2,7,13,Jim,481
2,7,13,Jan,342
2,7,13,Pam,307
2,7,13,Dwight,246
2,7,13,Oscar,45
2,7,13,Ryan,40
2,7,13,Phyllis,20
2,7,13,Kelly,9
2,7,13,Kevin,7
2,7,13,Roy,7
2,7,13,Toby,3
2,8,14,TOTAL,3547
2,8,14,Michael,1786
2,8,14,Dwight,545
2,8,14,Jan,507
2,8,14,Pam,234
2,8,14,Jim,210
2,8,14,Oscar,74
2,8,14,Angela,65
2,8,14,Stanley,49
2,8,14,Phyllis,23
2,8,14,Kelly,16
2,8,14,Kevin,16
2,8,14,Creed,11
2,8,14,Toby,6
2,8,14,Ryan,5
2,9,15,TOTAL,2953
2,9,15,Michael,1261
2,9,15,Jim,480
2,9,15,Pam,315
2,9,15,Dwight,312
2,9,15,Kevin,68
2,9,15,Phyllis,52
2,9,15,Angela,49
2,9,15,Oscar,48
2,9,15,Stanley,20
2,9,15,Kelly,19
2,9,15,Ryan,12
2,10,16,TOTAL,3295
2,10,16,Michael,1367
2,10,16,Dwight,427
2,10,16,Jim,391
2,10,16,Pam,178
2,10,16,Kevin,119
2,10,16,Ryan,117
2,10,16,Oscar,106
2,10,16,Roy,77
2,10,16,Angela,71
2,10,16,Kelly,70
2,10,16,Phyllis,62
2,10,16,Darryl,60
2,10,16,Meredith,50
2,10,16,Stanley,42
2,10,16,Toby,39
2,10,16,Todd Packer,28
2,10,16,Creed,26
2,11,17,TOTAL,2863
2,11,17,Michael,1243
2,11,17,Dwight,323
2,11,17,Jim,265
2,11,17,Roy,160
2,11,17,Pam,139
2,11,17,Creed,61
2,11,17,Stanley,50
2,11,17,Phyllis,31
2,11,17,Ryan,26
2,11,17,Kelly,25
2,11,17,Darryl,14
2,11,17,Oscar,14
2,11,17,Angela,7
2,11,17,Meredith,4
2,12,18,TOTAL,3109
2,12,18,Michael,1536
2,12,18,Jim,359
2,12,18,Pam,342
2,12,18,Dwight,328
2,12,18,Ryan,101
2,12,18,Toby,45
2,12,18,Angela,41
2,12,18,Oscar,22
2,12,18,Phyllis,21
2,12,18,Stanley,17
2,12,18,Creed,11
2,12,18,Kelly,9
2,12,18,Kevin,8
2,12,18,Meredith,5
2,13,19,TOTAL,2661
2,13,19,Michael,1114
